	Kanji	Romaji	Title	Screenplay	Art	Animation	Direction	Chapters	Episode_num
971	反乱軍戦士コーザ！ビビに誓った夢！	Hanrangun senshi Kōza! Bibi ni chikatta yume!	Rebel Warrior Koza! The Dream Sworn to Vivi!	武上純希 - Junki Takegami	佐藤美幸 - Miyuki Sato ::: 内川文広 - Fumihiro Uchikawa	井手武生  - Takeo Ide	遠藤勇二 - Yuji Endo	Chapter 163 (p. 8-19) ::: Chapter 164 (p. 2-16) ::: 	Episode 100
972	アラバスタ戦線！夢の町レインベース	Arabasuta sensen! Yume no machi Reinbēsu!	The Arabasta War Front! City of Dreams, Rainbase	島田満 - Michiru Shimada	佐藤美幸 - Miyuki Sato ::: 須和田真 - Makoto Suwada	舘直樹 - Naoki Tate ::: 島貫正弘 - Masahiro Shimanuki	遠藤勇二 - Yuji Endo	Chapter 167 (p. 2-19) ::: Chapter 168 (p. 2-19) ::: 	Episode 105
973	情無用の死闘！ルフィVSクロコダイル	Jōmuyō no Shitō! Rufi tai Kurokodairu!	Merciless Fight to the Death! Luffy vs. Crocodile	武上純希 - Junki Takegami	佐南友理 - Yuri Sanami	井上栄作 - Eisaku Inoue	遠藤勇二 - Yuji Endo	Chapter 176 (p. 15-19) ::: Chapter 177 (p. 2-19) ::: Chapter 178 (p. 2-19) ::: 	Episode 110
974	王家に伝わる秘密！古代兵器プルトン	Ōke ni tsuwaru himitsu! Kodai heiki Puruton	Secret of the Royal Family! The Ancient Weapon, Pluton	島田満 - Michiru Shimada	佐藤美幸 - Miyuki Sato ::: 川崎美千代 - Michiyo Kawasaki	高木雅之 - Masayuki Takagi	遠藤勇二 - Yuji Endo	Chapter 192 (p. 2 :::  8-19) ::: Chapter 193 (p. 2-19) ::: 	Episode 118
975	悪夢の時迫る！ここは砂砂団秘密基地	Akumu no toki hakaru! Koko wa Sunasunadan himitsu kichi	The Nightmare Draws Near! Secret Base of the Suna Suna Clan	島田満 - Michiru Shimada	佐藤美幸 - Miyuki Sato ::: 川崎美千代 - Michiyo Kawasaki	志村隆行 - Takayuki Shimura	遠藤勇二 - Yuji Endo	Chapter 204 (p. 2-19) ::: Chapter 205 (p. 2-19) ::: 	Episode 124
976	はじめての患者（クランケ）！ランブルボール秘話	Hajimete no Kuranke! Ranburu Bōru Hiwa	The First Patient! Anecdote of the Rumble Ball	島田満 - Michiru Shimada	佐藤美幸 - Miyuki Sato ::: 丸森俊昭 - Toshiaki Marumori	横山健次 - Kenji Yokoyama	遠藤勇二 - Yuji Endo	Filler	Episode 131
977	儲かりまっか?金貸しゼニィの野望	Mōkarimakka? Kanekashi Zenii no yabō	How's That for Profit? Money Lender Zenny's Ambition!	菅良幸 - Yoshiyuki Suga	佐藤美幸 - Miyuki Sato ::: 塩崎広光 - Hiromitsu Shiozaki	横山健次 - Kenji Yokoyama	遠藤勇二 - Yuji Endo	Filler	Episode 137
978	乱戦必至！ウエットンの野望と虹の塔	Ransen hissu! Uetton no yabō to niji no tō	Frantic Struggle! Wetton's Plans and the Rainbow Tower!	山口亮太 - Ryōta Yamaguchi	佐藤美幸 - Miyuki Sato ::: 須和田真 - Makoto Suwada	久田和也 - Kazuya Hisada	遠藤勇二 - Yuji Endo	Filler	Episode 142
979	雲舵いっぱい！サウスバードを追え！	Kumo kaji ippai! Sausubādo o oe!	Hard Turn to the Clouds! Find the Southbird!	菅良幸 - Yoshiyuki Suga	佐藤美幸 - Miyuki Sato ::: 内川文広 - Fumihiro Uchikawa	木下ゆうき - Yūki Kinoshita	遠藤勇二 - Yuji Endo	229 p.2-19 ::: 230 p.2-19	Episode 149
981	仲間を引き離す汽笛！走り出す海列車	Nakama o hikihanasu kiteki! Hashiridasu umi ressha	The Steam Whistle Separates the Crew! The Sea Train Begins to Run	上坂浩彦 - Hirohiko Kamisaka	佐藤美幸 - Miyuki Sato ::: 川崎美千代 - Michiyo Kawasaki	高木雅之 - Masayuki Takagi	中尾幸彦 - Yukihiko Nakao	360 p.2-19 ::: 361 p.2-9	Episode 252
982	波を砕け!ルフィとゾロの最強合体技（コンボ）	Nami o Sake! Rufi to Zoro no Saikyō Konbo	Smash the Wave! Luffy and Zoro, The Strongest Combo!	上坂浩彦 - Hirohiko Kamisaka	佐藤美幸 - Miyuki Sato ::: 千田国広 - Kunihiro Senda	高木雅之 - Masayuki Takagi	中尾幸彦 - Yukihiko Nakao	366 p.15-17 ::: 367 p.2-19	Episode 257
983	ロビン争奪戦！そげキングの奇策！！	Robin sōdatsusen! Sogekingu no kisaku!!	Robin Struggles! Sogeking's Clever Scheme!!	上坂浩彦 - Hirohiko Kamisaka	佐藤美幸 - Miyuki Sato ::: 内川文広 - Fumihiro Uchikawa	横山健次 - Kenji Yokoyama	中尾幸彦 - Yukihiko Nakao	373 p.6-19 ::: 374 p.2-13	Episode 262
984	オーズ吼える！！出て来い麦わらの一味	Ōzu Hoeru!! Dete Koi Mugiwara no Ichimi	Oars Roars!! Come Out Straw Hat Crew	ますもとたくや - Takuya Masumoto	吉池隆司 - Ryūji Yoshiike ::: 川崎美千代 - Michiyo Kawasaki	>村上直紀 - Naoki Murakami	中尾幸彦 - Yukihiko Nakao	469 p.2-19	Episode 364
